"","Category","Item","Calories","TotalFat"
"0","Breakfast","Egg McMuffin","300","13,0"
"1","Breakfast","Egg White Delight","250","8,0"
"2","Breakfast","Sausage McMuffin","370","23,0"
"3","Breakfast","Sausage McMuffin with Egg","450","28,0"
"4","Breakfast","Sausage McMuffin with Egg Whites","400","23,0"
"5","Breakfast","Steak & Egg McMuffin","430","23,0"
"6","Breakfast","Bacon, Egg & Cheese Biscuit (Regular Biscuit)","460","26,0"
"7","Breakfast","Bacon, Egg & Cheese Biscuit (Large Biscuit)","520","30,0"
"8","Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","410","20,0"
"9","Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)","470","25,0"
"10","Breakfast","Sausage Biscuit (Regular Biscuit)","430","27,0"
"11","Breakfast","Sausage Biscuit (Large Biscuit)","480","31,0"
"12","Breakfast","Sausage Biscuit with Egg (Regular Biscuit)","510","33,0"
"13","Breakfast","Sausage Biscuit with Egg (Large Biscuit)","570","37,0"
"14","Breakfast","Sausage Biscuit with Egg Whites (Regular Biscuit)","460","27,0"
"15","Breakfast","Sausage Biscuit with Egg Whites (Large Biscuit)","520","32,0"
"16","Breakfast","Southern Style Chicken Biscuit (Regular Biscuit)","410","20,0"
"17","Breakfast","Southern Style Chicken Biscuit (Large Biscuit)","470","24,0"
"18","Breakfast","Steak & Egg Biscuit (Regular Biscuit)","540","32,0"
"19","Breakfast","Bacon, Egg & Cheese McGriddles","460","21,0"
"20","Breakfast","Bacon, Egg & Cheese McGriddles with Egg Whites","400","15,0"
"21","Breakfast","Sausage McGriddles","420","22,0"
"22","Breakfast","Sausage, Egg & Cheese McGriddles","550","31,0"
"23","Breakfast","Sausage, Egg & Cheese McGriddles with Egg Whites","500","26,0"
"24","Breakfast","Bacon, Egg & Cheese Bagel","620","31,0"
"25","Breakfast","Bacon, Egg & Cheese Bagel with Egg Whites","570","25,0"
"26","Breakfast","Steak, Egg & Cheese Bagel","670","35,0"
"27","Breakfast","Big Breakfast (Regular Biscuit)","740","48,0"
"28","Breakfast","Big Breakfast (Large Biscuit)","800","52,0"
"29","Breakfast","Big Breakfast with Egg Whites (Regular Biscuit)","640","37,0"
"30","Breakfast","Big Breakfast with Egg Whites (Large Biscuit)","690","41,0"
"31","Breakfast","Big Breakfast with Hotcakes (Regular Biscuit)","1090","56,0"
"32","Breakfast","Big Breakfast with Hotcakes (Large Biscuit)","1150","60,0"
"33","Breakfast","Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)","990","46,0"
"34","Breakfast","Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)","1050","50,0"
"35","Breakfast","Hotcakes","350","9,0"
"36","Breakfast","Hotcakes and Sausage","520","24,0"
"37","Breakfast","Sausage Burrito","300","16,0"
"38","Breakfast","Hash Brown","150","9,0"
"39","Breakfast","Cinnamon Melts","460","19,0"
"40","Breakfast","Fruit & Maple Oatmeal","290","4,0"
"41","Breakfast","Fruit & Maple Oatmeal without Brown Sugar","260","4,0"
"42","Beef & Pork","Big Mac","530","27,0"
"43","Beef & Pork","Quarter Pounder with Cheese","520","26,0"
"44","Beef & Pork","Quarter Pounder with Bacon & Cheese","600","29,0"
"45","Beef & Pork","Quarter Pounder with Bacon Habanero Ranch","610","31,0"
"46","Beef & Pork","Quarter Pounder Deluxe","540","27,0"
"47","Beef & Pork","Double Quarter Pounder with Cheese","750","43,0"
"48","Beef & Pork","Hamburger","240","8,0"
"49","Beef & Pork","Cheeseburger","290","11,0"
"50","Beef & Pork","Double Cheeseburger","430","21,0"
"51","Beef & Pork","Bacon Clubhouse Burger","720","40,0"
"52","Beef & Pork","McDouble","380","17,0"
"53","Beef & Pork","Bacon McDouble","440","22,0"
"54","Beef & Pork","Daily Double","430","22,0"
"55","Beef & Pork","Jalapeño Double","430","23,0"
"56","Beef & Pork","McRib","500","26,0"
"57","Chicken & Fish","Premium Crispy Chicken Classic Sandwich","510","22,0"
"58","Chicken & Fish","Premium Grilled Chicken Classic Sandwich","350","9,0"
"59","Chicken & Fish","Premium Crispy Chicken Club Sandwich","670","33,0"
"60","Chicken & Fish","Premium Grilled Chicken Club Sandwich","510","20,0"
"61","Chicken & Fish","Premium Crispy Chicken Ranch BLT Sandwich","610","28,0"
"62","Chicken & Fish","Premium Grilled Chicken Ranch BLT Sandwich","450","15,0"
"63","Chicken & Fish","Bacon Clubhouse Crispy Chicken Sandwich","750","38,0"
"64","Chicken & Fish","Bacon Clubhouse Grilled Chicken Sandwich","590","25,0"
"65","Chicken & Fish","Southern Style Crispy Chicken Sandwich","430","19,0"
"66","Chicken & Fish","McChicken","360","16,0"
"67","Chicken & Fish","Bacon Cheddar McChicken","480","24,0"
"68","Chicken & Fish","Bacon Buffalo Ranch McChicken","430","21,0"
"69","Chicken & Fish","Buffalo Ranch McChicken","360","16,0"
"70","Chicken & Fish","Premium McWrap Chicken & Bacon (Crispy Chicken)","630","32,0"
"71","Chicken & Fish","Premium McWrap Chicken & Bacon (Grilled Chicken)","480","19,0"
"72","Chicken & Fish","Premium McWrap Chicken & Ranch (Crispy Chicken)","610","31,0"
"73","Chicken & Fish","Premium McWrap Chicken & Ranch (Grilled Chicken)","450","18,0"
"74","Chicken & Fish","Premium McWrap Southwest Chicken (Crispy Chicken)","670","33,0"
"75","Chicken & Fish","Premium McWrap Southwest Chicken (Grilled Chicken)","520","20,0"
"76","Chicken & Fish","Premium McWrap Chicken Sweet Chili (Crispy Chicken)","540","23,0"
"77","Chicken & Fish","Premium McWrap Chicken Sweet Chili (Grilled Chicken)","380","10,0"
"78","Chicken & Fish","Chicken McNuggets (4 piece)","190","12,0"
"79","Chicken & Fish","Chicken McNuggets (6 piece)","280","18,0"
"80","Chicken & Fish","Chicken McNuggets (10 piece)","470","30,0"
"81","Chicken & Fish","Chicken McNuggets (20 piece)","940","59,0"
"82","Chicken & Fish","Chicken McNuggets (40 piece)","1880","118,0"
"83","Chicken & Fish","Filet-O-Fish","390","19,0"
"84","Salads","Premium Bacon Ranch Salad (without Chicken)","140","7,0"
"85","Salads","Premium Bacon Ranch Salad with Crispy Chicken","380","21,0"
"86","Salads","Premium Bacon Ranch Salad with Grilled Chicken","220","8,0"
"87","Salads","Premium Southwest Salad (without Chicken)","140","4,5"
"88","Salads","Premium Southwest Salad with Crispy Chicken","450","22,0"
"89","Salads","Premium Southwest Salad with Grilled Chicken","290","8,0"
"90","Snacks & Sides","Chipotle BBQ Snack Wrap (Crispy Chicken)","340","15,0"
"91","Snacks & Sides","Chipotle BBQ Snack Wrap (Grilled Chicken)","260","8,0"
"92","Snacks & Sides","Honey Mustard Snack Wrap (Crispy Chicken)","330","15,0"
"93","Snacks & Sides","Honey Mustard Snack Wrap (Grilled Chicken)","250","8,0"
"94","Snacks & Sides","Ranch Snack Wrap (Crispy Chicken)","360","20,0"
"95","Snacks & Sides","Ranch Snack Wrap (Grilled Chicken)","280","13,0"
"96","Snacks & Sides","Small French Fries","230","11,0"
"97","Snacks & Sides","Medium French Fries","340","16,0"
"98","Snacks & Sides","Large French Fries","510","24,0"
"99","Snacks & Sides","Kids French Fries","110","5,0"
"100","Snacks & Sides","Side Salad","20","0,0"
"101","Snacks & Sides","Apple Slices","15","0,0"
"102","Snacks & Sides","Fruit 'n Yogurt Parfait","150","2,0"
"103","Desserts","Baked Apple Pie","250","13,0"
"104","Desserts","Chocolate Chip Cookie","160","8,0"
"105","Desserts","Oatmeal Raisin Cookie","150","6,0"
"106","Desserts","Kids Ice Cream Cone","45","1,5"
"107","Desserts","Hot Fudge Sundae","330","9,0"
"108","Desserts","Hot Caramel Sundae","340","8,0"
"109","Desserts","Strawberry Sundae","280","6,0"
"110","Beverages","Coca-Cola Classic (Small)","140","0,0"
"111","Beverages","Coca-Cola Classic (Medium)","200","0,0"
"112","Beverages","Coca-Cola Classic (Large)","280","0,0"
"113","Beverages","Coca-Cola Classic (Child)","100","0,0"
"114","Beverages","Diet Coke (Small)","0","0,0"
"115","Beverages","Diet Coke (Medium)","0","0,0"
"116","Beverages","Diet Coke (Large)","0","0,0"
"117","Beverages","Diet Coke (Child)","0","0,0"
"118","Beverages","Dr Pepper (Small)","140","0,0"
"119","Beverages","Dr Pepper (Medium)","190","0,0"
"120","Beverages","Dr Pepper (Large)","270","0,0"
"121","Beverages","Dr Pepper (Child)","100","0,0"
"122","Beverages","Diet Dr Pepper (Small)","0","0,0"
"123","Beverages","Diet Dr Pepper (Medium)","0","0,0"
"124","Beverages","Diet Dr Pepper (Large)","0","0,0"
"125","Beverages","Diet Dr Pepper (Child)","0","0,0"
"126","Beverages","Sprite (Small)","140","0,0"
"127","Beverages","Sprite (Medium)","200","0,0"
"128","Beverages","Sprite (Large)","280","0,0"
"129","Beverages","Sprite (Child)","100","0,0"
"130","Beverages","1% Low Fat Milk Jug","100","2,5"
"131","Beverages","Fat Free Chocolate Milk Jug","130","0,0"
"132","Beverages","Minute Maid 100% Apple Juice Box","80","0,0"
"133","Beverages","Minute Maid Orange Juice (Small)","150","0,0"
"134","Beverages","Minute Maid Orange Juice (Medium)","190","0,0"
"135","Beverages","Minute Maid Orange Juice (Large)","280","0,0"
"136","Beverages","Dasani Water Bottle","0","0,0"
"137","Coffee & Tea","Iced Tea (Small)","0","0,0"
"138","Coffee & Tea","Iced Tea (Medium)","0","0,0"
"139","Coffee & Tea","Iced Tea (Large)","0","0,0"
"140","Coffee & Tea","Iced Tea (Child)","0","0,0"
"141","Coffee & Tea","Sweet Tea (Small)","150","0,0"
"142","Coffee & Tea","Sweet Tea (Medium)","180","0,0"
"143","Coffee & Tea","Sweet Tea (Large)","220","0,0"
"144","Coffee & Tea","Sweet Tea (Child)","110","0,0"
"145","Coffee & Tea","Coffee (Small)","0","0,0"
"146","Coffee & Tea","Coffee (Medium)","0","0,0"
"147","Coffee & Tea","Coffee (Large)","0","0,0"
"148","Coffee & Tea","Latte (Small)","170","9,0"
"149","Coffee & Tea","Latte (Medium)","210","10,0"
"150","Coffee & Tea","Latte (Large)","280","14,0"
"151","Coffee & Tea","Caramel Latte (Small)","270","9,0"
"152","Coffee & Tea","Caramel Latte (Medium)","340","10,0"
"153","Coffee & Tea","Caramel Latte (Large)","430","14,0"
"154","Coffee & Tea","Hazelnut Latte (Small)","270","9,0"
"155","Coffee & Tea","Hazelnut Latte (Medium)","330","10,0"
"156","Coffee & Tea","Hazelnut Latte (Large)","430","14,0"
"157","Coffee & Tea","French Vanilla Latte (Small)","260","9,0"
"158","Coffee & Tea","French Vanilla Latte (Medium)","330","10,0"
"159","Coffee & Tea","French Vanilla Latte (Large)","420","14,0"
"160","Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Small)","210","9,0"
"161","Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Medium)","260","10,0"
"162","Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Large)","330","14,0"
"163","Coffee & Tea","Nonfat Latte (Small)","100","0,0"
"164","Coffee & Tea","Nonfat Latte (Medium)","130","0,0"
"165","Coffee & Tea","Nonfat Latte (Large)","170","0,5"
"166","Coffee & Tea","Nonfat Caramel Latte (Small)","200","0,0"
"167","Coffee & Tea","Nonfat Caramel Latte (Medium)","250","0,0"
"168","Coffee & Tea","Nonfat Caramel Latte (Large)","310","0,5"
"169","Coffee & Tea","Nonfat Hazelnut Latte (Small)","200","0,0"
"170","Coffee & Tea","Nonfat Hazelnut Latte (Medium)","250","0,0"
"171","Coffee & Tea","Nonfat Hazelnut Latte (Large)","310","0,5"
"172","Coffee & Tea","Nonfat French Vanilla Latte (Small)","190","0,0"
"173","Coffee & Tea","Nonfat French Vanilla Latte (Medium)","240","0,0"
"174","Coffee & Tea","Nonfat French Vanilla Latte (Large)","300","0,5"
"175","Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Small)","140","0,0"
"176","Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Medium)","170","0,0"
"177","Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Large)","220","0,5"
"178","Coffee & Tea","Mocha (Small)","340","11,0"
"179","Coffee & Tea","Mocha (Medium)","410","14,0"
"180","Coffee & Tea","Mocha (Large)","500","17,0"
"181","Coffee & Tea","Mocha with Nonfat Milk (Small)","270","3,5"
"182","Coffee & Tea","Mocha with Nonfat Milk (Medium)","330","3,5"
"183","Coffee & Tea","Mocha with Nonfat Milk (Large)","390","4,0"
"184","Coffee & Tea","Caramel Mocha (Small)","320","11,0"
"185","Coffee & Tea","Caramel Mocha (Medium)","390","14,0"
"186","Coffee & Tea","Caramel Mocha (Large)","480","17,0"
"187","Coffee & Tea","Nonfat Caramel Mocha (Small)","250","3,5"
"188","Coffee & Tea","Nonfat Caramel Mocha (Medium)","310","3,5"
"189","Coffee & Tea","Nonfat Caramel Mocha (Large)","370","3,5"
"190","Coffee & Tea","Hot Chocolate (Small)","360","13,0"
"191","Coffee & Tea","Hot Chocolate (Medium)","440","16,0"
"192","Coffee & Tea","Hot Chocolate (Large)","540","20,0"
"193","Coffee & Tea","Hot Chocolate with Nonfat Milk (Small)","280","3,5"
"194","Coffee & Tea","Hot Chocolate with Nonfat Milk (Medium)","340","3,5"
"195","Coffee & Tea","Hot Chocolate with Nonfat Milk (Large)","400","3,5"
"196","Coffee & Tea","Regular Iced Coffee (Small)","140","4,5"
"197","Coffee & Tea","Regular Iced Coffee (Medium)","190","7,0"
"198","Coffee & Tea","Regular Iced Coffee (Large)","270","9,0"
"199","Coffee & Tea","Caramel Iced Coffee (Small)","130","4,5"
"200","Coffee & Tea","Caramel Iced Coffee (Medium)","180","7,0"
"201","Coffee & Tea","Caramel Iced Coffee (Large)","260","9,0"
"202","Coffee & Tea","Hazelnut Iced Coffee (Small)","130","4,5"
"203","Coffee & Tea","Hazelnut Iced Coffee (Medium)","180","7,0"
"204","Coffee & Tea","Hazelnut Iced Coffee (Large)","250","9,0"
"205","Coffee & Tea","French Vanilla Iced Coffee (Small)","120","4,5"
"206","Coffee & Tea","French Vanilla Iced Coffee (Medium)","170","7,0"
"207","Coffee & Tea","French Vanilla Iced Coffee (Large)","240","9,0"
"208","Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Small)","80","4,5"
"209","Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Medium)","120","7,0"
"210","Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Large)","160","9,0"
"211","Coffee & Tea","Iced Mocha (Small)","290","11,0"
"212","Coffee & Tea","Iced Mocha (Medium)","350","13,0"
"213","Coffee & Tea","Iced Mocha (Large)","480","16,0"
"214","Coffee & Tea","Iced Mocha with Nonfat Milk (Small)","240","5,0"
"215","Coffee & Tea","Iced Mocha with Nonfat Milk (Medium)","290","5,0"
"216","Coffee & Tea","Iced Mocha with Nonfat Milk (Large)","390","6,0"
"217","Coffee & Tea","Iced Caramel Mocha (Small)","280","11,0"
"218","Coffee & Tea","Iced Caramel Mocha (Medium)","340","13,0"
"219","Coffee & Tea","Iced Caramel Mocha (Large)","460","16,0"
"220","Coffee & Tea","Iced Nonfat Caramel Mocha (Small)","230","5,0"
"221","Coffee & Tea","Iced Nonfat Caramel Mocha (Medium)","270","5,0"
"222","Coffee & Tea","Iced Nonfat Caramel Mocha (Large)","370","6,0"
"223","Coffee & Tea","Frappé Mocha (Small)","450","18,0"
"224","Coffee & Tea","Frappé Mocha (Medium)","550","22,0"
"225","Coffee & Tea","Frappé Mocha (Large)","670","26,0"
"226","Coffee & Tea","Frappé Caramel (Small)","450","19,0"
"227","Coffee & Tea","Frappé Caramel (Medium)","550","23,0"
"228","Coffee & Tea","Frappé Caramel (Large)","670","27,0"
"229","Coffee & Tea","Frappé Chocolate Chip (Small)","530","23,0"
"230","Coffee & Tea","Frappé Chocolate Chip (Medium)","630","26,0"
"231","Coffee & Tea","Frappé Chocolate Chip (Large)","760","31,0"
"232","Smoothies & Shakes","Blueberry Pomegranate Smoothie (Small)","220","0,5"
"233","Smoothies & Shakes","Blueberry Pomegranate Smoothie (Medium)","260","1,0"
"234","Smoothies & Shakes","Blueberry Pomegranate Smoothie (Large)","340","1,0"
"235","Smoothies & Shakes","Strawberry Banana Smoothie (Small)","210","0,5"
"236","Smoothies & Shakes","Strawberry Banana Smoothie (Medium)","250","1,0"
"237","Smoothies & Shakes","Strawberry Banana Smoothie (Large)","330","1,0"
"238","Smoothies & Shakes","Mango Pineapple Smoothie (Small)","210","0,5"
"239","Smoothies & Shakes","Mango Pineapple Smoothie (Medium)","260","1,0"
"240","Smoothies & Shakes","Mango Pineapple Smoothie (Large)","340","1,0"
"241","Smoothies & Shakes","Vanilla Shake (Small)","530","15,0"
"242","Smoothies & Shakes","Vanilla Shake (Medium)","660","19,0"
"243","Smoothies & Shakes","Vanilla Shake (Large)","820","23,0"
"244","Smoothies & Shakes","Strawberry Shake (Small)","550","16,0"
"245","Smoothies & Shakes","Strawberry Shake (Medium)","690","20,0"
"246","Smoothies & Shakes","Strawberry Shake (Large)","850","24,0"
"247","Smoothies & Shakes","Chocolate Shake (Small)","560","16,0"
"248","Smoothies & Shakes","Chocolate Shake (Medium)","700","20,0"
"249","Smoothies & Shakes","Chocolate Shake (Large)","850","23,0"
"250","Smoothies & Shakes","Shamrock Shake (Medium)","660","19,0"
"251","Smoothies & Shakes","Shamrock Shake (Large)","820","23,0"
"252","Smoothies & Shakes","McFlurry with M&M’s Candies (Small)","650","23,0"
"253","Smoothies & Shakes","McFlurry with M&M’s Candies (Medium)","930","33,0"
"254","Smoothies & Shakes","McFlurry with M&M’s Candies (Snack)","430","15,0"
"255","Smoothies & Shakes","McFlurry with Oreo Cookies (Small)","510","17,0"
"256","Smoothies & Shakes","McFlurry with Oreo Cookies (Medium)","690","23,0"
"257","Smoothies & Shakes","McFlurry with Oreo Cookies (Snack)","340","11,0"
"258","Smoothies & Shakes","McFlurry with Reese's Peanut Butter Cups (Medium)","810","32,0"
"259","Smoothies & Shakes","McFlurry with Reese's Peanut Butter Cups (Snack)","410","16,0"
