"Item","TotalFat"
"Egg McMuffin","13,0"
"Egg White Delight","8,0"
"Sausage McMuffin","23,0"
"Sausage McMuffin with Egg","28,0"
"Sausage McMuffin with Egg Whites","23,0"
"Steak & Egg McMuffin","23,0"
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)","26,0"
"Bacon, Egg & Cheese Biscuit (Large Biscuit)","30,0"
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","20,0"
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)","25,0"
"Sausage Biscuit (Regular Biscuit)","27,0"
"Sausage Biscuit (Large Biscuit)","31,0"
"Sausage Biscuit with Egg (Regular Biscuit)","33,0"
"Sausage Biscuit with Egg (Large Biscuit)","37,0"
"Sausage Biscuit with Egg Whites (Regular Biscuit)","27,0"
"Sausage Biscuit with Egg Whites (Large Biscuit)","32,0"
"Southern Style Chicken Biscuit (Regular Biscuit)","20,0"
"Southern Style Chicken Biscuit (Large Biscuit)","24,0"
"Steak & Egg Biscuit (Regular Biscuit)","32,0"
"Bacon, Egg & Cheese McGriddles","21,0"
"Bacon, Egg & Cheese McGriddles with Egg Whites","15,0"
"Sausage McGriddles","22,0"
"Sausage, Egg & Cheese McGriddles","31,0"
"Sausage, Egg & Cheese McGriddles with Egg Whites","26,0"
"Bacon, Egg & Cheese Bagel","31,0"
"Bacon, Egg & Cheese Bagel with Egg Whites","25,0"
"Steak, Egg & Cheese Bagel","35,0"
"Big Breakfast (Regular Biscuit)","48,0"
"Big Breakfast (Large Biscuit)","52,0"
"Big Breakfast with Egg Whites (Regular Biscuit)","37,0"
"Big Breakfast with Egg Whites (Large Biscuit)","41,0"
"Big Breakfast with Hotcakes (Regular Biscuit)","56,0"
"Big Breakfast with Hotcakes (Large Biscuit)","60,0"
"Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)","46,0"
"Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)","50,0"
"Hotcakes","9,0"
"Hotcakes and Sausage","24,0"
"Sausage Burrito","16,0"
"Hash Brown","9,0"
"Cinnamon Melts","19,0"
"Fruit & Maple Oatmeal","4,0"
