year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2020-03,2020-03,Long-term migrant,Arrivals,Female,0-4 years,419,32,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,10-14 years,250,17,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,15-19 years,246,21,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,20-24 years,999,56,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,25-29 years,1529,73,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,30-34 years,921,46,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,35-39 years,491,30,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,40-44 years,322,24,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,45-49 years,244,22,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,50-54 years,183,25,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,55-59 years,182,22,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,5-9 years,341,23,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,60-64 years,151,28,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,65-69 years,93,19,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,70-74 years,48,20,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,75-79 years,26,16,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,80-84 years,12,8,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,85-89 years,7,6,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,90+ years,1,1,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Female,TOTAL,6465,247,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,0-4 years,443,32,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,10-14 years,226,15,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,15-19 years,294,21,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,20-24 years,907,49,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,25-29 years,1307,67,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,30-34 years,1041,54,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,35-39 years,633,37,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,40-44 years,440,30,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,45-49 years,321,26,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,50-54 years,229,25,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,55-59 years,192,23,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,5-9 years,350,24,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,60-64 years,153,25,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,65-69 years,108,20,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,70-74 years,57,21,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,75-79 years,30,17,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,80-84 years,14,9,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,85-89 years,7,6,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,90+ years,2,2,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,Male,TOTAL,6755,255,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,0-4 years,862,58,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,10-14 years,476,28,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,15-19 years,540,36,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,20-24 years,1906,94,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,25-29 years,2837,126,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,30-34 years,1962,91,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,35-39 years,1125,59,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,40-44 years,762,46,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,45-49 years,564,43,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,50-54 years,412,45,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,55-59 years,374,40,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,5-9 years,691,42,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,60-64 years,304,49,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,65-69 years,201,36,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,70-74 years,105,38,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,75-79 years,57,31,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,80-84 years,26,16,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,85-89 years,14,11,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,90+ years,3,3,Provisional
2020-03,2020-03,Long-term migrant,Arrivals,TOTAL,TOTAL,13219,464,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,0-4 years,143,15,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,10-14 years,53,7,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,15-19 years,118,15,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,20-24 years,332,24,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,25-29 years,552,35,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,30-34 years,327,23,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,35-39 years,146,14,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,40-44 years,99,11,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,45-49 years,77,10,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,50-54 years,66,10,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,55-59 years,58,9,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,5-9 years,76,10,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,60-64 years,47,9,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,65-69 years,30,8,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,70-74 years,17,7,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,75-79 years,9,5,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,80-84 years,5,4,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,85-89 years,3,3,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,90+ years,1,1,Provisional
2020-03,2020-03,Long-term migrant,Departures,Female,TOTAL,2159,97,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,0-4 years,146,15,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,10-14 years,57,8,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,15-19 years,116,15,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,20-24 years,376,26,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,25-29 years,635,37,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,30-34 years,438,27,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,35-39 years,232,19,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,40-44 years,156,15,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,45-49 years,107,12,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,50-54 years,75,10,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,55-59 years,57,9,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,5-9 years,96,11,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,60-64 years,44,9,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,65-69 years,29,8,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,70-74 years,16,7,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,75-79 years,8,5,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,80-84 years,5,3,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,85-89 years,2,2,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,90+ years,1,1,Provisional
2020-03,2020-03,Long-term migrant,Departures,Male,TOTAL,2597,105,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,0-4 years,289,26,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,10-14 years,110,11,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,15-19 years,234,25,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,20-24 years,708,42,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,25-29 years,1187,62,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,30-34 years,765,43,Provisional
