index,date,home_team,away_team,home_score,away_score,city,country,neutral
4731,1960,Czechoslovakia,Russia,0,3,Marseille,France,True
4732,1960,France,Yugoslavia,4,5,Paris,France,False
4734,1960,France,Czechoslovakia,0,2,Marseille,France,False
4739,1960,Russia,Yugoslavia,2,1,Paris,France,True
5628,1964,Denmark,Russia,0,3,Barcelona,Spain,True
5629,1964,Spain,Hungary,2,1,Madrid,Spain,False
5632,1964,Hungary,Denmark,3,1,Barcelona,Spain,True
5633,1964,Spain,Russia,2,1,Madrid,Spain,False
6789,1968,England,Yugoslavia,0,1,Florence,Italy,True
6790,1968,Italy,Russia,0,0,Naples,Italy,False
6792,1968,England,Russia,2,0,Rome,Italy,True
6793,1968,Italy,Yugoslavia,1,1,Rome,Italy,False
6796,1968,Italy,Yugoslavia,2,0,Rome,Italy,False
8198,1972,Belgium,Germany,1,2,Antwerp,Belgium,False
8200,1972,Hungary,Russia,0,1,Brussels,Belgium,True
8207,1972,Belgium,Hungary,2,1,Liège,Belgium,False
8214,1972,Germany,Russia,3,0,Brussels,Belgium,True
9749,1976,Czechoslovakia,Netherlands,3,1,Zagreb,Yugoslavia,True
9752,1976,Yugoslavia,Germany,2,4,Belgrade,Yugoslavia,False
9753,1976,Yugoslavia,Netherlands,2,3,Zagreb,Yugoslavia,False
9754,1976,Czechoslovakia,Germany,2,2,Belgrade,Yugoslavia,True
11276,1980,Czechoslovakia,Germany,0,1,Rome,Italy,True
11277,1980,Netherlands,Greece,1,0,Naples,Italy,True
11278,1980,Belgium,England,1,1,Turin,Italy,True
11280,1980,Italy,Spain,0,0,Milan,Italy,False
11285,1980,Germany,Netherlands,3,2,Naples,Italy,True
11286,1980,Greece,Czechoslovakia,1,3,Rome,Italy,True
11288,1980,Belgium,Spain,2,1,Milan,Italy,True
11291,1980,Italy,England,1,0,Turin,Italy,False
11293,1980,Greece,Germany,0,0,Turin,Italy,True
11294,1980,Netherlands,Czechoslovakia,1,1,Milan,Italy,True
11297,1980,Italy,Belgium,0,0,Rome,Italy,False
